filename,width,height,class,xmin,ymin,xmax,ymax
top_left_route125.DIB.png,640,320,cave,331,280,388,320
bot_right_route106.DIB.png,640,160,cave,109,72,167,117
top_right_route115.DIB.png,320,640,cave,88,568,146,612
top_left_underwater6.DIB.png,320,640,cave,178,34,255,83
bot_left_underwater6.DIB.png,320,640,cave,246,391,315,438
top_left_mauville.DIB.png,320,160,gym,78,15,178,98
top_right_mauville.DIB.png,320,160,pokemon_center,14,31,83,98
top_right_mauville.DIB.png,320,160,normal_house,221,31,306,98
bot_left_mauville.DIB.png,320,160,normal_house,286,14,320,82
bot_left_mauville.DIB.png,320,160,misc,77,1,196,73
bot_right_mauville.DIB.png,320,160,pokemart,33,23,97,83
bot_right_mauville.DIB.png,320,160,normal_house,173,12,257,82
bot_right_mauville.DIB.png,320,160,normal_house,1,14,31,82
top_left_mossdeep.DIB.png,640,320,normal_house,285,109,354,179
top_left_mossdeep.DIB.png,640,320,normal_house,268,205,338,274
top_left_mossdeep.DIB.png,640,320,normal_house,429,94,499,162
top_left_mossdeep.DIB.png,640,320,pokemart,572,244,640,306
top_left_mossdeep.DIB.png,640,320,pokemon_center,430,206,500,277
top_left_mossdeep.DIB.png,640,320,gym,556,79,640,163
top_right_mossdeep.DIB.png,640,320,normal_house,126,47,195,116
top_right_mossdeep.DIB.png,640,320,misc,318,205,462,259
bot_left_mossdeep.DIB.png,640,320,normal_house,556,6,640,82
bot_right_mossdeep.DIB.png,640,320,normal_house,411,28,482,99
top_left_route109.DIB.png,320,504,normal_house,157,27,244,101
top_left_fallarbor.DIB.png,160,160,misc,95,49,160,130
top_left_fallarbor.DIB.png,160,160,normal_house,1,47,65,114
top_right_fallarbor.DIB.png,160,160,pokemon_center,46,62,113,129
bot_left_fallarbor.DIB.png,160,160,normal_house,78,63,145,129
bot_right_fallarbor.DIB.png,160,160,pokemart,62,38,129,95
top_left_slateport.DIB.png,320,480,misc,123,129,212,216
top_left_slateport.DIB.png,320,480,misc,28,356,117,442
top_left_slateport.DIB.png,320,480,normal_house,61,253,132,324
top_left_slateport.DIB.png,320,480,pokemon_center,283,253,320,322
top_left_slateport.DIB.png,320,480,pokemart,189,371,261,437
top_right_slateport.DIB.png,320,480,misc,77,111,193,211
top_right_slateport.DIB.png,320,480,misc,125,359,229,445
top_right_slateport.DIB.png,320,480,pokemon_center,1,253,35,322
bot_right_slateport.DIB.png,320,480,misc,61,81,195,150
bot_right_slateport.DIB.png,320,480,normal_house,1,170,65,242
top_left_route105.DIB.png,320,640,cave,112,269,195,342
top_left_underwater5.DIB.png,640,320,cave,396,30,451,69
bot_left_underwater5.DIB.png,640,320,cave,488,1,555,35
top_right_underwater3.DIB.png,640,640,cave,251,58,307,101
bot_right_route214.DIB.png,640,640,normal_house,461,77,531,147
top_right_route114.DIB.png,320,640,normal_house,78,524,163,595
top_right_route114.DIB.png,320,640,normal_house,124,26,195,101
bot_left_route114.DIB.png,320,640,cave,108,347,163,386
top_left_fortree.DIB.png,320,160,pokemon_center,62,47,131,115
top_left_fortree.DIB.png,320,160,normal_house,144,15,192,68
top_left_fortree.DIB.png,320,160,normal_house,256,14,305,67
top_right_fortree.DIB.png,320,160,normal_house,62,15,111,67
top_right_fortree.DIB.png,320,160,normal_house,177,1,225,51
top_right_fortree.DIB.png,320,160,gym,1,112,82,160
bot_left_fortree.DIB.png,320,160,pokemart,46,22,113,80
bot_left_fortree.DIB.png,320,160,normal_house,176,16,226,66
bot_right_fortree.DIB.png,320,160,normal_house,255,14,304,65
bot_right_fortree.DIB.png,320,160,gym,1,1,82,32
top_right_route117.DIB.png,480,160,normal_house,318,27,386,100
top_left_route113.DIB.png,800,160,normal_house,509,30,579,100
top_left_route120.DIB.png,320,800,cave,263,317,320,390
top_right_route120.DIB.png,320,800,cave,1,317,38,390
bot_left_route120.DIB.png,320,800,cave,77,32,163,100
top_left_route110.DIB.png,320,800,normal_house,222,190,320,274
top_right_route110.DIB.png,320,800,cave,224,363,267,402
bot_left_route110.DIB.png,320,800,normal_house,142,173,226,274
bot_left_route110.DIB.png,320,800,normal_house,238,543,320,626
top_left_route123.DIB.png,1120,160,normal_house,334,46,403,115
